"ID","Hits","Indirect hits","Conflicts"
"K00035","1","0","0"
"K01432","1","0","0"
"K01205","1","0","0"
"K06134","1","0","0"
"K10105","1","0","0"
"K01736","1","0","0"
"K00931","1","0","1"
"K00297","1","0","0"
"K01613","1","0","0"
"K01590","1","0","1"
"K00643","1","0","0"
"K00501","1","0","0"
"K06126","1","0","1"
"K01439","1","0","0"
"K00856","1","0","1"
"K00303","1","0","1"
"K03752","1","0","0"
"K01744","1","0","0"
"K01908","1","0","1"
"K00869","1","0","0"
"K01082","1","0","1"
"K01097","1","0","0"
"K01803","1","0","0"
"K11262","1","0","1"
"K07127","1","0","0"
"K00108","1","0","0"
"K00681","1","0","1"
"K00746","1","0","0"
"K00116","1","0","1"
"K00728","1","0","0"
"K01207","1","0","1"
"K00957","1","0","1"
"K01480","1","0","0"
"K00765","1","0","0"
"K01430","1","0","0"
"K00763","1","0","0"
"K09881","1","0","0"
"K00954","1","0","1"
"K17497","1","0","1"
"K01607","1","0","0"
"K04073","1","0","0"
"K00456","1","0","0"
"K00883","1","0","0"
"K01084","1","0","1"
"K01775","1","0","0"
"K07432","1","0","0"
"K16871","1","0","1"
"K00058","1","0","0"
"K00669","1","0","0"
"K01925","1","0","0"
"K01183","1","0","0"
"K19572","1","0","1"
"K01114","1","0","1"
"K01520","1","0","1"
"K03639","1","0","1"
"K01079","1","0","0"
"K00919","1","0","0"
"K03858","1","0","0"
"K00700","1","0","0"
"K01239","1","0","1"
"K02229","1","0","0"
"K00033","1","0","0"
"K00547","1","0","1"
"K00325","1","0","1"
"K04718","1","0","0"
"K01055","1","0","0"
"K00097","1","0","0"
"K01712","1","0","0"
"K00357","1","0","0"
"K02535","1","0","0"
"K03434","1","0","0"
"K09020","1","0","0"
"K00981","1","0","0"
"K03336","1","0","0"
"K01596","1","0","1"
"K01735","1","0","0"
"K12448","1","0","0"
"K02189","1","0","0"
"K01899","1","0","1"
"K01963","1","0","1"
"K17108","1","0","0"
"K01254","1","0","0"
"K01930","1","0","1"
"K03750","1","0","1"
"K02434","1","0","0"
"K00895","1","0","1"
"K00074","1","0","0"
"K00867","1","0","1"
"K01784","1","0","0"
"K03849","1","0","0"
"K03517","1","0","0"
"K00949","1","0","0"
"K02536","1","0","0"
"K00972","1","0","1"
"K18082","1","0","0"
"K00606","1","0","0"
"K00888","1","0","0"
"K00261","1","0","1"
"K08679","1","0","0"
"K09471","1","0","0"
"K00737","1","0","0"
"K00145","1","0","0"
"K00137","1","0","1"
"K00254","1","0","0"
"K10026","1","0","0"
"K00734","1","0","0"
"K19269","1","0","1"
"K01800","1","0","0"
"K01621","1","0","0"
"K05294","1","0","0"
"K13509","1","0","1"
"K02500","1","0","0"
"K14163","1","0","1"
"K01952","1","0","0"
"K00648","1","0","0"
"K05878","1","0","0"
"K01135","1","0","0"
"K21032","1","0","0"
"K00992","1","0","0"
"K00041","1","0","0"
"K00847","1","0","1"
"K01486","1","0","0"
"K01689","1","0","0"
"K14459","1","0","0"
"K00014","1","0","0"
"K01903","1","0","1"
"K07441","1","0","0"
"K00901","1","0","1"
"K00995","1","0","0"
"K01483","1","0","0"
"K00915","1","0","0"
"K09882","1","0","0"
"K10712","1","0","0"
"K01956","1","0","1"
"K00130","1","0","1"
"K05304","1","0","0"
"K11472","1","0","1"
